Rank,Country,ISO,Score,Categorical Rank
72,Tunisia,TUN,29.45,Okay
154,Turkey,TUR,50.02,Worse
43,Taiwan,TWN,23.76,Better
124,Tanzania,TZA,40.25,Worse
125,Uganda,UGA,40.95,Worse
96,Ukraine,UKR,32.52,Okay
19,Uruguay,URY,15.79,Better
45,United States,USA,23.85,Better
156,Uzbekistan,UZB,53.07,Worse
147,Venezuela,VEN,45.66,Worse
175,Vietnam,VNM,74.71,Worst
21,Samoa,WSM,18.25,Better
167,Yemen,YEM,58.25,Worst
31,South Africa,ZAF,22.41,Better
120,Zambia,ZMB,37,Worse
126,Zimbabwe,ZWE,40.95,Worse
