Rank,Country,ISO,Index
45,Kuwait,KWT,0.81
151,Kyrgyzstan,KGZ,0.455
165,Lao People's Democratic Republic,LAO,0.356
105,Latvia,LVA,0.63
91,Lebanon,LBN,0.664
183,Lesotho,LSO,0.266
186,Liberia,LBR,0.2
87,Libyan Arab Jamahiriya,LBY,0.683
73,Lithuania,LTU,0.722
16,Luxembourg,LUX,0.928
159,Madagascar,MDG,0.397
185,Malawi,MWI,0.251
49,Malaysia,MYS,0.802
147,Maldives,MDV,0.477
163,Mali,MLI,0.361
5,Malta,MLT,0.978
141,Marshall Islands,MHL,0.504
162,Mauritania,MRT,0.384
84,Mauritius,MUS,0.691
61,Mexico,MEX,0.755
123,"Micronesia, Federated States of",FSM,0.579
13,Monaco,MCO,0.943
145,Mongolia,MNG,0.483
29,Morocco,MAR,0.882
184,Mozembique,MOZ,0.26
190,Myanmar,MMR,0.138
168,Namibia,NAM,0.34
98,Nauru,NRU,0.647
150,Nepal,NPL,0.457
17,Netherlands,NLD,0.928
41,New Zealand,NZL,0.827
71,Nicaragua,NIC,0.733
170,Niger,NER,0.337
187,Nigeria,NGA,0.176
121,Niue,NIU,0.584
11,Norway,NOR,0.955
8,Oman,OMN,0.961
122,Pakistan,PAK,0.583
82,Palau,PLW,0.7
95,Panama,PAN,0.656
148,Papua New Guinea,PNG,0.467
57,Paraguay,PRY,0.761
129,Peru,PER,0.547
60,Philippines,PHL,0.755
50,Poland,POL,0.793
12,Portugal,PRT,0.945
44,Qatar,QAT,0.812
58,Republic of Korea,KOR,0.759
101,Republic of Moldova,MDA,0.639
99,Romania,ROU,0.645
130,Russian Federation,RUS,0.544
172,Rwanda,RWA,0.327
100,Saint Kitts and Nevis,KNA,0.643
68,Saint Lucia,LCA,0.74
74,Saint Vincent and the Grenadines,VCT,0.722
119,Samoa,WSM,0.589
3,San Marino,SMR,0.988
133,Sao Tome and Principe,STP,0.535
26,Saudi Arabia,SAU,0.894
59,Senegal,SEN,0.756
56,Seychelles,SYC,0.773
191,Sierra Leone,SLE,0
6,Singapore,SGP,0.973
62,Slovakia,SVK,0.754
38,Slovenia,SVN,0.838
80,Solomon Islands,SLB,0.705
179,Somalia,SOM,0.286
175,South Africa,ZAF,0.319
7,Spain,ESP,0.972
76,Sri Lanka,LKA,0.716
134,Sudan,SDN,0.524
110,Suriname,SUR,0.623
177,Swaziland,SWZ,0.305
23,Sweden,SWE,0.908
20,Switzerland,CHE,0.916
108,Syrian Arab Republic,SYR,0.628
154,Tajikistan,TJK,0.428
47,Thailand,THA,0.807
89,The former Yugoslav Republic of Macedonia,MKD,0.664
152,Togo,TGO,0.449
116,Tonga,TON,0.607
67,Trinidad and Tobago,TTO,0.742
52,Tunisia,TUN,0.785
70,Turkey,TUR,0.734
153,Turkmenistan,TKM,0.443
136,Tuvalu,TUV,0.518
149,Uganda,UGA,0.464
79,Ukraine,UKR,0.708
27,United Arab Emirates,ARE,0.886
18,United Kingdom,GBR,0.925
156,United Republic of Tanzania,TZA,0.422
37,United States of America,USA,0.838
65,Uruguay,URY,0.745
117,Uzbekistan,UZB,0.599
127,Vanuatu,VUT,0.559
54,Venezuela,VEN,0.775
160,Vietnam,VNM,0.393
120,Yemen,YEM,0.587
106,Yugoslavia,SRB,0.629
182,Zambia,ZMB,0.269
155,Zimbabwe,ZWE,0.427
