Country,Code,ISO,Pop (1000s)
San Marino,674,SMR,33.938
Somalia,706,SOM,15893.219
Saint Pierre and Miquelon,666,SPM,5.795
Serbia,688,SRB,8737.37
South Sudan,728,SSD,11193.729
Sao Tome and Principe,678,STP,219.161
Suriname,740,SUR,586.634
Slovakia,703,SVK,5459.643
Slovenia,705,SVN,2078.932
Sweden,752,SWE,10099.27
Eswatini,748,SWZ,1160.164
Seychelles,690,SYC,98.34
Syrian Arab Republic,760,SYR,17500.657
Turks and Caicos Islands,796,TCA,38.718
Chad,148,TCD,16425.859
Togo,768,TGO,8278.737
Thailand,764,THA,69799.978
Tajikistan,762,TJK,9537.642
Tokelau,772,TKL,1.35
Turkmenistan,795,TKM,6031.187
Timor-Leste,626,TLS,1318.442
Tonga,776,TON,105.697
Trinidad and Tobago,780,TTO,1399.491
Tunisia,788,TUN,11818.618
Turkey,792,TUR,84339.067
Tuvalu,798,TUV,11.792
"China, Taiwan Province of China",158,TWN,23816.775
United Republic of Tanzania,834,TZA,59734.213
Uganda,800,UGA,45741
Ukraine,804,UKR,43733.759
Uruguay,858,URY,3473.727
United States of America,840,USA,331002.647
Uzbekistan,860,UZB,33469.199
Holy See,336,VAT,0.809
Saint Vincent and the Grenadines,670,VCT,110.947
Venezuela (Bolivarian Republic of),862,VEN,28435.943
British Virgin Islands,92,VGB,30.237
United States Virgin Islands,850,VIR,104.423
Viet Nam,704,VNM,97338.583
Vanuatu,548,VUT,307.15
Wallis and Futuna Islands,876,WLF,11.246
Samoa,882,WSM,198.41
Yemen,887,YEM,29825.968
South Africa,710,ZAF,59308.69
Zambia,894,ZMB,18383.956
Zimbabwe,716,ZWE,14862.927
